deposito,tabungan,orisukuk,reksadana,bac,investasi
0,2345951560,0,0,0,0
0,1831920624,0,54422948.76,0,78155541.83
0,4243041057,0,0,22617521.46,121367521.5
0,923784301.5,0,2051904304,3153333339,7769371068
0,346600584.5,1265259000,2000063090,1740074739,5618555179
0,848323943.1,0,483712089.8,335186481.6,2268026071
0,539524149.5,1000583000,1509033869,0,2509616869
0,445827899,0,56769761.86,29301025.7,86070787.56
1000000000,364393559.8,0,1009008779,0,2993258779
0,500937747.2,0,0,546533556.4,546533556.4
1101000000,2101763707,2055463500,0,176765839.3,2232229339
3855605947,4354529817,0,0,204591742.9,204591742.9
0,2974532.29,0,913725264.1,12968221.44,926693485.6
0,1457029782,400000000,0,0,400000000
0,278077417.3,1470726900,0,0,1470726900
4156497316,838673697.9,0,0,0,0
0,10712416874,0,0,0,0
1288313505,1646941113,0,0,0,0
1500229586,297571693.3,0,0,485200197,485200197
905000000,11548807.71,0,3660506715,0,3660506715
0,1495394251,1024141000,0,0,1024141000
77353273.11,1137183992,100058300,1112827.08,18237550.92,119408678
2001000000,271626858.3,0,0,0,0
0,619341763.1,0,1047918826,0,1047918826
0,1439892547,0,0,97474308.29,97474308.29
4428750000,324475868.7,204828200,0,0,204828200
0,1840456.65,0,1002268276,0,1002268276
2740026101,98274518.91,0,0,0,0
229235706.6,117117384.1,911557200,0,42894778.43,954451978.4
0,332566777.6,925245100,449228963.8,0,2193469064
889676040.2,1249882044,0,215643119.3,232649467.5,448292586.8
0,1332850617,0,3749265904,413263623.8,9768513528
0,4978202335,0,0,0,0
273427875,509716127.7,0,0,619583259.3,619583259.3
13072500000,259699501.6,0,9696682458,22704499.93,9719386958
0,134948816.5,0,997175219.4,0,997175219.4
0,306714904.9,0,0,239723933.7,239723933.7
1181029572,403374632.7,0,0,17051240.84,17051240.84
0,3948695317,0,0,0,0
0,296952740.1,0,0,337264289.1,723698289.1
0,2107524804,0,0,0,0
0,52486868.83,0,392713328.3,0,891088328.3
0,864874766.7,0,2055890360,0,2055890360
0,2020329057,0,1581118570,0,2087868570
0,111800003.9,0,80392230.74,0,1962172231
0,8371631.87,520184000,2059061000,0,2579245000
550000000,36266244.99,718994500,190316504.3,1195275108,2104586113
0,648020.6,1024141000,107271.75,0,1024248272
0,291230272.4,0,0,0,537050000
0,7083971258,1028893000,3173701478,499843153.5,13182437632
0,3723173035,0,0,0,0
0,470137625.5,0,1453427522,1311816637,19790344159
0,21185940.05,1000583000,0,0,1000583000
1072466215,49702214.14,0,0,0,0
2000000000,367036120.7,1987578000,0,205465570.6,2193043571
1000000000,452355624.7,0,0,0,0
0,2083502362,0,0,0,0
0,144980403,0,405288100,503810445.3,1914223545
0,60228519.32,0,604126089.2,342846270.7,1140189360
1410799992,39793824.18,0,0,0,0
0,277467669.8,0,811185785.1,2802243281,9281516316
0,599582840.1,2033263000,1564463378,860174224.2,4457900603
0,663985693,0,992385803.4,0,992385803.4
0,1011470595,0,0,0,0
1861519958,480878820.5,150087450,0,0,150087450
0,44647501.82,200000000,1583111205,0,1783111205
0,958210103.1,0,1072049020,0,1072049020
0,4865092165,0,454346.08,0,454346.08
0,1661472362,0,0,0,0
0,2996735200,308667900,142295353.2,0,450963253.2
0,1489792260,716898700,230043510.5,0,1445317211
0,5429365.27,0,0,1757365845,1757365845
3781694442,656767586.1,0,556529586.6,0,755879586.6
0,1290687666,0,0,0,0
0,481998904,149068350,823519637.9,0,972587987.9
0,1353430907,500000000,126167027.4,3064821696,9122238723
1527799779,721916504.1,100000000,0,126327054.4,226327054.4
411220442.9,107451206.5,0,1163748259,1069129580,2232877840
1000000000,422866114.7,0,0,0,0
1125000000,2992236327,0,0,0,0
0,1702972220,0,0,0,0
2078358265,312312121.1,0,0,0,0
0,344567352.7,354589200,258880013.3,0,1152119213
3217446452,2188524833,0,0,0,0
0,660184282.2,104036800,524110000,0,875021800
0,17954676.34,200000000,0,0,1681736275
0,1292032975,0,0,0,0
0,373748432.2,250000000,1075067285,1745137216,4519635689
0,757003859.1,0,740276867.8,623175490.3,1735582858
0,25516425.27,300174900,1011218649,0,1311393549
1000000000,1031624174,0,502016961.7,2021740442,3489842404
0,6385743342,0,0,0,0
500000000,207212325.4,379487700,1772693828,109277179,2261458707
0,155460926.5,1493789000,2796954252,0,5267636652
200000000,2268987416,0,0,0,0
0,54261594.13,0,714378666.8,163941674.7,1287406193
0,32760323.24,1027551000,0,0,8007816475
1100000000,121530880.8,0,311789995,307506523.6,619296518.6
0,2495053418,0,0,0,0
0,134029295.5,612090600,828995261.5,0,12117071502
1370736716,85586228.91,884790200,3060703188,0,3945493388
1683952825,588874133.7,0,0,0,0
2600000000,1109715854,506556000,0,8966355.96,515522356
0,3558586002,0,0,0,0
1000000000,51842291.44,0,0,0,0
1727600000,0,0,0,0,0
0,17386269.51,0,777177140,0,1275552140
0,977304089.8,0,0,0,0
0,1561406339,0,0,0,0
1051186670,718516640.7,0,1742825992,73080493.62,1815906486
0,1559606640,588881075,25275557.49,0,1212206632
0,333974393.1,0,3568056613,2133346352,8116615465
5549014785,1222119393,0,0,0,0
0,941287427.9,0,106633352.4,0,106633352.4
3050250000,1246152396,0,0,0,0
0,1178755969,0,0,0,0
1000000000,30735277.94,0,0,0,0
1050306981,4434825637,0,0,382630747,382630747
0,59627704.39,0,51035630.82,2030167982,2081203613
0,21787654.98,0,82747751.27,706984591.3,1283482343
4000000000,3001584976,0,0,0,0
0,499022194,0,0,0,0
2000000000,24414985.64,0,0,0,0
1300000000,4369616925,0,0,324931250,324931250
1000000000,392529385,0,0,95265429.02,95265429.02
0,1352790149,0,0,0,0
1171147468,2728652609,357052850,0,5503201.93,362556051.9
0,1096136536,0,1216195651,0,2736445651
1926250000,564342379.7,0,0,0,0
474925000,1575795845,0,0,0,0
7443565745,124112332.4,0,0,0,0
0,47885439.74,1024141000,0,0,1024141000
0,235907415.2,0,526291887,3815196934,4341488821
0,1171027463,0,58963765.24,726197007.1,785160772.3
1250000000,171958685,18330150000,0,0,18330150000
3250000000,602724153.5,0,0,0,0
1250000000,7875566.23,0,0,0,0
0,219888.3,0,0,0,0
0,1406287985,0,0,0,0
0,36182155.73,520866000,582252441.9,0,1863555942
1099180723,67387496.27,6611662302,22684992.83,0,6634347295
3499000000,4988231.58,0,0,0,0
0,6377466.06,0,0,0,0
0,827392192,0,0,91056461.71,91056461.71
0,3010762469,1507643400,1484589949,643583115.9,4343753965
1950000000,2051169831,6074172000,0,0,6074172000
